,speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,locationPrivate,exoticCategory,region,year
57456,burowl,Burrowing Owl,Athene cunicularia,L10121296,Ojos de Mar--Sector Dunas,2022-05-12,2.0,-33.6114963,-71.6273657,False,-1,Valparaíso,2022
57471,ocftap1,Ochre-flanked Tapaculo,Eugralla paradoxa,L874494,PN Alerce Andino--Sector Sur,2022-12-27,1.0,-41.5735908,-72.5681305,False,-1,Los Lagos,2022
57472,cintea,Cinnamon Teal,Spatula cyanoptera,L793367,SN Humedal Río Copiapó--Desembocadura,2022-01-05,3.0,-27.3177895,-70.9263611,False,-1,Atacama,2022
57479,whfibi,White-faced Ibis,Plegadis chihi,L17401377,Isla Teja--Humedal Sur,2022-01-12,1.0,-39.8202614,-73.2580601,False,-1,Los Ríos,2022
57481,cthhue1,Chestnut-throated Huet-huet,Pteroptochos castaneus,L3054167,PN Nonguén,2022-10-31,1.0,-36.8776296,-72.9932928,False,-1,Bío-Bío,2022
57482,relcor1,Red-legged Cormorant,Poikilocarbo gaimardi,L1033571,Transbordador Pargua-Chacao,2022-12-05,1.0,-41.8143142,-73.4916687,False,-1,Los Lagos,2022
57483,cliswa,Cliff Swallow,Petrochelidon pyrrhonota,L3086280,Humedal Urbano Küla-Kura (O'Higgins),2022-11-06,1.0,-33.3388465,-70.7320833,False,-1,Región Metropolitana de Santiago,2022
57521,rudtur,Ruddy Turnstone,Arenaria interpres,L570152,Punta de Tralca,2022-04-13,3.0,-33.4268569,-71.7039871,False,-1,Valparaíso,2022
57528,rutpla1,Rufous-tailed Plantcutter,Phytotoma rara,L10166542,Condominio San Javier (Propiedad Privada),2022-08-04,2.0,-33.4294414,-71.6879567,True,-1,Valparaíso,2022
57541,redsho1,Red Shoveler,Spatula platalea,L21781232,Costa Papudo Papudo CL-Valparaíso -32.50234 -71.43591,2022-12-12,4.0,-32.502341,-71.435907,True,-1,Valparaíso,2022
57544,blkrai,Black Rail,Laterallus jamaicensis,L673642,Río Elqui--Desembocadura,2022-03-27,3.0,-29.8933968,-71.2727094,False,-1,Coquimbo,2022
